trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-72.14175824327023,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-113.279986070587,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-163.7770664832541,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.98}",30,0,-99.08562288234506,"{0: 20, 1: 3, 2: 4, 3: 3, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-70.9069160406873,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.97}",30,0,-302.8763149908738,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-98.44939366803806,"{0: 7, 1: 6, 2: 6, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-59.96288723353689,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-158.74536708206946,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,0,-116.03601596800382,"{0: 9, 1: 3, 2: 5, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.945}",20,0,-203.5013576139331,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,9,-50.592065252843014,"{0: 6, 1: 0, 2: 4, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-38.608801364618735,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
