trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5024999791668749, 'e': 0.99}",30,7,-162.42526909524227,"{0: 10, 1: 6, 2: 3, 3: 2, 4: 2}",1
2,False,"{'a': 0.5049998333399998, 'e': 0.9801}",25,0,-173.96483641933742,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5074994375506203, 'e': 0.970299}",25,0,-170.44020820831375,"{0: 12, 1: 4, 2: 4, 3: 4, 4: 1}",0
4,False,"{'a': 0.5099986668799655, 'e': 0.96059601}",20,0,-184.98649282249676,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5124973964842103, 'e': 0.9509900498999999}",35,15,-92.19648262414421,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",1
6,False,"{'a': 0.51499550161941, 'e': 0.941480149401}",20,0,-146.61631120597144,"{0: 12, 1: 4, 2: 0, 3: 1, 4: 3}",0
7,False,"{'a': 0.5174928576663897, 'e': 0.9320653479069899}",20,0,-95.67777114505847,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
8,False,"{'a': 0.5199893401555818, 'e': 0.9227446944279201}",20,0,-93.2820871549895,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5224848247918001, 'e': 0.9135172474836408}",25,0,-161.05865780769562,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
10,False,"{'a': 0.52497918747894, 'e': 0.9043820750088044}",25,0,-147.10465016185586,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
11,False,"{'a': 0.5274723043445937, 'e': 0.8953382542587164}",20,0,-127.98786432610325,"{0: 12, 1: 4, 2: 0, 3: 2, 4: 2}",0
12,False,"{'a': 0.5299640517645717, 'e': 0.8863848717161292}",20,0,-122.2220826872059,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.5324543063873187, 'e': 0.8775210229989678}",25,0,-65.65158061400835,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.5349429451582145, 'e': 0.8687458127689782}",20,0,-97.74973012018748,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
15,False,"{'a': 0.5374298453437496, 'e': 0.8600583546412884}",20,8,-35.94811545429834,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5399148845555657, 'e': 0.8514577710948755}",25,0,-94.54175709098251,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
17,False,"{'a': 0.542397940774351, 'e': 0.8429431933839268}",25,0,-190.15971438491854,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
18,False,"{'a': 0.5448788923735801, 'e': 0.8345137614500875}",25,0,-128.24398463638695,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
19,False,"{'a': 0.5473576181430894, 'e': 0.8261686238355866}",20,0,-189.5517455158616,"{0: 8, 1: 4, 2: 4, 3: 1, 4: 3}",0
20,False,"{'a': 0.549833997312478, 'e': 0.8179069375972308}",20,0,-195.17875074340967,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
21,False,"{'a': 0.5523079095743253, 'e': 0.8097278682212584}",30,0,-112.77731274291175,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
22,False,"{'a': 0.5547792351072148, 'e': 0.8016305895390459}",30,3,-71.68943844340441,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 0}",1
23,False,"{'a': 0.5572478545985555, 'e': 0.7936142836436554}",20,0,-110.95539530636347,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
24,False,"{'a': 0.5597136492671929, 'e': 0.7856781408072188}",20,2,-166.06336407024097,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 3}",1
25,False,"{'a': 0.5621765008857981, 'e': 0.7778213593991467}",20,10,-28.046022639029022,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
26,False,"{'a': 0.5646362918030292, 'e': 0.7700431458051551}",30,0,-104.87604691034045,"{0: 20, 1: 0, 2: 9, 3: 0, 4: 1}",0
