trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-182.21923274725108,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.33772254841222,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.09112002300039,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.02121901413219,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,15,-4.692318798971147,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.68007659366904,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.43261480581482,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-118.74848996772572,"{0: 14, 1: 1, 2: 7, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,5,-70.36006649138564,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.44210299072319,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,18,-55.113707699449634,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.74443180512961,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-141.65032659342276,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-93.86741297799024,"{0: 16, 1: 6, 2: 8, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.81066377004119,"{0: 10, 1: 3, 2: 4, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.99065470486,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",35,0,-169.7415377858224,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-192.3265859031346,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-63.46242628272108,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.02131835216548,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-192.61521325871848,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-89.58376711964485,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.88930910399411,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.29163037208235,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-181.5290271911904,"{0: 11, 1: 2, 2: 8, 3: 3, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-177.42497977341154,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,11,-116.71819685719993,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 2}",1
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-145.91249902881088,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-118.2708291966962,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-257.94959372101874,"{0: 6, 1: 1, 2: 6, 3: 4, 4: 3}",0
